Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
62. Pasidaryk pats,Julio Cortázar,Užsienio autorių romanai,2008,272,0,0,16.59,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,0,4
666 anekdotai apie blondines,Julio Cortázar,Humoras ir komiksai,2012,120,0,0,0,Liberum Artis,"10 x 14 cm, minkšti viršeliai",Lietuvių,1,3
666 Anekdotai apie daktarus,Liudas Panava,Humoras ir komiksai,2012,144,0,0,5.79,Liberum Artis,"10 x 14 cm, minkšti viršeliai",Lietuvių,2,5
666 anekdotai apie teisininkus,Liudas Panava,Humoras ir komiksai,2014,120,1.30,1.17,0,Liberum Artis,"10,5 x 14 cm, minkšti viršeliai",Lietuvių,1,5
666 anekdotai apie uošvę,Sudarė Vilius Šaulys,Humoras ir komiksai,2011,124,1.30,1.17,1.30,Liberum Artis,"10 x 14,5 cm, minkšti viršeliai",Lietuvių,1,5
666 užstalės juokeliai,Sudarė Vilius Šaulys,Humoras ir komiksai,2016,78,0,0,0,Liberum Artis,"10 x 14 x 0,5 cm, minkšti viršeliai",Lietuvių,0,0
69,Ryu Murakami,Užsienio autorių romanai,2004,222,0,0,3.39,Versus Aureus,"14,5 x 21,5 cm, kieti viršeliai",Lietuvių,1,5
7-asis klausimas,Richard Flanagan,Užsienio autorių romanai,2024,240,0,0,0,Vaga,"14,5 x 21,5 cm, kieti viršeliai",Lietuvių,0,0
7 islandų poetai,Richard Flanagan,"Poezija, drama, esė",2016,184,0,0,0,Lietuvos rašytojų sąjungos leidykla,"16, 5 x 21 x 1,5 cm, minkšti viršeliai",Lietuvių,0,0
7 METAI UŽ GROTŲ: necenzūruota kalėjimo realybė. Be cenzūros apie uždarą kalėjimo gyvenimą ir nesuvokiamomis taisyklėmis pagrįstus kalinių tarpusavio santykius,Edvinas Krocas,Lietuvių autorių romanai,2017,256,0,0,5.79,Obuolys,"13 x 19,7 cm, minkšti viršeliai",Lietuvių,14,4
77 žodeliavimai,Marija Meilė Kudarauskaitė,"Poezija, drama, esė",2020,96,6.09,5.48,0,Homo liber,"13 x 21 x 0,7 cm, minkšti viršeliai",Lietuvių,0,0
