Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
Absoliuti galia. II dalis,Deividas Boldasis,Užsienio autorių romanai,1996,316,0,0,5.79,Tyrai,"13 x 20 cm, kieti viršeliai",Lietuvių,0,4
Absoliuti galia. I dalis,Deividas Boldasis,Užsienio autorių romanai,1996,316,0,0,5.19,Tyrai,"13 x 20 cm, kieti viršeliai",Lietuvių,0,5
"ABSOLIUTUS ĮRODYMAS: trileris, nuo pirmo iki paskutinio puslapio prikaustantis daug žadančia intriga ir pasaulinio masto sąmokslo teorija",Peter James,"Detektyvai, trileriai",2019,528,0,0,4.47,Jotema,"15 x 22 x 4,3 cm, kieti viršeliai",Lietuvių,9,4
Abu krantai,Gražina Pranauskienė,"Poezija, drama, esė",2011,237,1.80,1.62,1.80,Eglės leidykla,"12 x 18 cm, minkšti viršeliai",Lietuvių,0,0
"ACHILO GIESMĖ: romano „Kirkė“ autorės knyga, pasakojanti istoriją apie žemiškus dievus ir dieviškus žmones",Madeline Miller,Užsienio autorių romanai,2021,384,14.39,12.95,14.39,Baltos lankos,"14,5 x 21 x 4,8 cm, kieti viršeliai",Lietuvių,47,4
Achilo giesmė,Madeline Miller,Istoriniai romanai,2013,384,0,0,6.99,Tyto alba,"15 x 22 cm, kieti viršeliai",Lietuvių,8,4
"Ačiū, gyvenu gerai",Justina Stučinskaitė,Lietuvių autorių romanai,2004,152,0,0,3.39,Baltos lankos,"13 x 18 cm, minkšti viršeliai",Lietuvių,0,3
Acqua Alta,Donna Leon,"Detektyvai, trileriai",2010,256,0,0,2.64,Charibdė,"12,5 x 19 cm, minkšti viršeliai",Lietuvių,2,5
Ada,Jozef Ignacy Kraszewski,Užsienio autorių romanai,2010,414,0,0,3.19,Versus Aureus,"23 x 15 cm, minkšti viršeliai",Lietuvių,0,4
Adata,Jaroslavas Melnikas,"Detektyvai, trileriai",2019,440,14.49,13.04,14.49,Alma littera,"15 x 24 x 4,1 cm, kieti viršeliai",Lietuvių,11,4
Adatos ąsa,Wiesław Myśliwski,Užsienio autorių romanai,2020,372,10.39,9.35,10.39,Mintis,"12,5 x 19,5 x 2,6 cm, minkšti viršeliai",Lietuvių,1,5
Adatos,Dainius Gintalas,"Poezija, drama, esė",2016,80,6.09,4.88,0,Tyto alba,"15 x 25 x 0,7 cm, minkšti viršeliai",Lietuvių,2,5
Adela,Greta Ambrazaitė,"Poezija, drama, esė",2022,88,10.15,8.12,0,Lietuvos rašytojų sąjungos leidykla,"13 x 20 x 0,9 cm, minkšti viršeliai",Lietuvių,0,4
Adomas ir Evelina,Ingo Schulze,Užsienio autorių romanai,2009,272,0,0,2.40,Gimtasis žodis,"15 x 24 cm, kieti viršeliai",Lietuvių,0,3
Adomas ir Ieva,Charles Ferdinand Ramuz,Užsienio autorių romanai,2015,172,0,0,3.39,Lietuvos rašytojų sąjungos leidykla,"13,7 x 20,7 cm, kieti viršeliai",Lietuvių,2,2
"Adomas Mickevičius: laiškai, esė, proza",Adomas Mickevičius,"Poezija, drama, esė",1998,193,0,0,0,Vaga,"15 x 25 cm, kieti viršeliai",Lietuvių,0,3
"Adomas Mickevičius: lyrika, baladės, poemos",Adomas Mickevičius,"Poezija, drama, esė",1975,447,0,0,5.79,Vaga,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Adomo kvapas,Jean-Christophe Rufin,Gamtos mokslai,2011,488,10.81,9.73,0,Žara,"14,5 x 21 cm, minkšti viršeliai",Lietuvių,0,0
Adomo Mickevičiaus poezija. Pirmas tomas. Poezye Adama Mickiewicza. Tom pierwszy,Adomas Mickevičius,"Poezija, drama, esė",2022,488,45.19,40.67,0,Vilniaus universiteto leidykla,"20 x 26,5 x 5,3 cm, kieti viršeliai","Lietuvių, Lenkų",0,0
Adomo obuolys (1973),Mykolas Sluckis,Lietuvių autorių romanai,1973,374,0,0,2.19,Vaga,"13,5 x 21 x 2 cm, kieti viršeliai",Lietuvių,0,0
Adomo obuolys,Mykolas Sluckis,Lietuvių autorių romanai,1979,357,0,0,2.09,Vaga,"13,5 x 21 cm, kieti viršeliai",Lietuvių,0,0
Adrianas Moulas ir masinio naikinimo ginklai,Sue Townsend,Užsienio autorių romanai,2007,416,0,0,7.00,Alma littera,"14,7 x 23,5, minkšti viršeliai",Lietuvių,0,4
Adriano memuarai,Margarita Jursenar,Užsienio autorių romanai,1986,215,0,0,0,Vaga,"14 x 21,2 cm, minkšti viršeliai",Lietuvių,0,0
Adventas,J.Glazarova,Istoriniai romanai,1960,331,0,0,2.19,Valstybinė grožinės literatūros leidykla,"11,5 x 17 x 1,8 cm, minkšti viršeliai",Lietuvių,1,5
Advento valandos,Janina Survilaitė,"Poezija, drama, esė",2024,120,14.59,13.13,0,Andrena,"12,3 x 21,4 x 1,2 cm, kieti viršeliai",Lietuvių,0,0
Aželika ir karalius,Ana Golon,Užsienio autorių romanai,1994,612,0,0,6.99,Spindulys,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,4
Aelita. Inžinieriaus Garino hiperboloidas,Aleksiejus Tolstojus,Užsienio autorių romanai,1983,350,0,0,2.00,Vaga,"13,5 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Aerodromo apysakos,Jonas Dovydaitis,Lietuvių autorių romanai,2015,296,3.24,2.92,0,Žuvėdra,"12,5 x 17 cm, kieti viršeliai",Lietuvių,1,5
Aerouostas (1973),Artūras Heilis,Užsienio autorių romanai,1973,390,0,0,2.55,Vaga,"13 x 20,5 x 3 cm, kieti viršeliai",Lietuvių,0,0
Aerouostas,Artūras Heilis,Užsienio autorių romanai,1973,333,0,0,3.39,Šviesa,"13 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Afganas,Frederick Forsyth,"Detektyvai, trileriai",2011,310,0,0,12.99,Baltos lankos,"15 x 22 cm, kieti viršeliai",Lietuvių,2,4
Afganistane... žuvusiems,Audrius Bitinas,"Poezija, drama, esė",2008,40,0,0,0,Petro ofsetas,"12 x 19 cm, minkšti viršeliai",Lietuvių,0,0
Afganistano daktaras,Vilius Kočiubaitis,Lietuvių autorių romanai,2021,328,0,0,6.14,Alma littera,"14,3 x 23,5 x 2,9 cm, kieti viršeliai",Lietuvių,20,4
Aforizmai,Aloyzas Tendzegolskis,Humoras ir komiksai,2018,232,6.11,5.50,6.11,Homo liber,"13,1 x 18,6 x 2,5 cm, kieti viršeliai",Lietuvių,0,0
Afrikos robinzonas,Josef Fyra,Užsienio autorių romanai,1994,272,0,0,4.29,Vaiga,"14,5 x 22 cm, kieti viršeliai",Lietuvių,1,5
"Afroditė. Istorijos, receptai ir kiti afrodiziakai",Isabel Allende,Užsienio autorių romanai,2009,326,0,0,2.50,Alma littera,"18 x 25 cm, kieti viršeliai",Lietuvių,2,5
Afroditės bučinys,Andrėja,Meilės romanai,2022,256,3.59,3.59,3.59,Svajonių knygos,"10,8 x 18,1 x 1,5 cm, minkšti viršeliai",Lietuvių,10,5
After. Kai mes pasiklydom II,Anna Todd,Meilės romanai,2016,374,0,0,6.59,Baltos lankos,"14,5 x 21 x 2,8 cm, kieti viršeliai",Lietuvių,18,5
After. Kai mes abejojom,Anna Todd,Meilės romanai,2015,648,0,0,42.99,Baltos lankos,"14,5 x 21 x 4,5 cm, kieti viršeliai",Lietuvių,27,4
After. Kai mes pasiklydom I,Anna Todd,Meilės romanai,2016,446,0,0,3.39,Baltos lankos,"14,5 x 21 x 3,2 cm, kieti viršeliai",Lietuvių,26,4
After. Kai mes susitikom. Literatūrinė interneto sensacija jau Lietuvoje!,Anna Todd,Meilės romanai,2015,592,0,0,36.99,Baltos lankos,"14,5 x 21 x 4,5 cm, kieti viršeliai",Lietuvių,39,4
"AGATA. Elegantiška ir subtili istorija apie du skirtingus žmones, padėjusius vienas kitam atverti akis ir širdis",Anne Cathrine Bomann,Užsienio autorių romanai,2021,144,11.09,6.10,11.09,BALTO leidybos namai,"13,5 x 20 x 1,8 cm, kieti viršeliai",Lietuvių,7,4
AGATOS KRISTI PASLAPTIS. Išskirtinė knygos.lt kolekcija 88/100,Marie Benedict,Užsienio autorių romanai,2024,336,5.00,5.00,0,knygos.lt,"13,7 x 20,8 cm, minkšti viršeliai",Lietuvių,0,0
AGATOS KRISTI PASLAPTIS. Kur ir kodėl vienuolika dienų buvo dingusi detektyvų karalienė?,Marie Benedict,Užsienio autorių romanai,2022,336,18.79,10.38,18.79,BALTO leidybos namai,"14,3 x 21,3 x 2,8 cm, kieti viršeliai",Lietuvių,1,5
Agentė. Šnipų romanas,Bernardas Gailius,"Detektyvai, trileriai",2024,406,20.99,18.81,0,Aukso žuvys,"15 x 21,5 x 3,5 cm, kieti viršeliai",Lietuvių,2,5
Agnesė Grėj (1997),Anne Brontë,Klasika,1997,287,0,0,0,Andrena,"13 x 20 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Agnesė Grėj,Anne Brontë,Klasika,2011,208,0,0,5.43,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,3,5
Agnesė,Peter Stamm,Meilės romanai,2006,120,3.57,3.21,0,Algimantas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,3
Agnijos magija (2006),Jurga Ivanauskaitė,Lietuvių autorių romanai,2006,377,0,0,6.98,Tyto alba,"15 x 22 x 2,5 cm, kieti viršeliai",Lietuvių,2,5
Agnijos magija,Jurga Ivanauskaitė,Lietuvių autorių romanai,1995,310,0,0,3.19,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Aidas atėjo iš jūros: pajūrio lyrika ir dainos,Algirdas Venckus,"Poezija, drama, esė",2017,240,4.59,4.13,0,Homo liber,"15 x 21 x 1,7 cm, minkšti viršeliai",Lietuvių,1,5
Aidintys: jaunųjų Sakartvelo poetų antologija,Algirdas Venckus,"Poezija, drama, esė",2021,176,11.49,10.34,0,Slinktys,"16,5 x 23 x 1,7 cm, kieti viršeliai","Lietuvių, Gruzinų",1,5
Aikštinga nuotaka,Jane Porter,Meilės romanai,2008,192,0,0,2.19,Svajonių knygos,"10,5 x 16,7 cm, minkšti viršeliai",Lietuvių,1,5
Airių dramos,Jane Porter,"Poezija, drama, esė",1980,326,0,0,0,Vaga,"12 x 17 x 2 cm, kieti viršeliai",Lietuvių,0,0
Airių svajos,Nora Roberts,Meilės romanai,2015,640,0,0,0,Svajonių knygos,"14 x 21 cm, kieti viršeliai",Lietuvių,10,4
Aisa: eilėraščiai apie meilę ir liūdesį,Algis Rudamina,"Poezija, drama, esė",2011,48,0,0,0,Algis Rudamina,"13 x 21 cm, kieti viršeliai",Lietuvių,0,0
Aiški linija,Nijolė Daujotytė,"Poezija, drama, esė",2021,96,10.29,9.26,0,Odilė,"12,5 x 21,5 cm, minkšti viršeliai",Lietuvių,0,4
"AIŠKIAREGĖ: sužinok, kas vyksta Aiškiaregės kabinete, gyvenime ir galvoje",Elė Soul,Lietuvių autorių romanai,2019,252,0,0,18.99,Spauda,"14,5 x 21 x 2,1 cm, minkšti viršeliai",Lietuvių,16,4
Aiškiaregė,Mike Resnick,Fantastika,1998,239,0,0,4.59,Dagonas,"13 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Aiškiaregės klaida,Dita Zikarė,Užsienio autorių romanai,2008,352,0,0,8.19,Alma littera,"13 x 20,4 cm, kieti viršeliai",Lietuvių,2,4
Aiškiaregys,Nora Roberts,Meilės romanai,2011,320,0,0,3.15,Svajonių knygos,"10,8 x 18 cm, minkšti viršeliai",Lietuvių,1,5
Aistra ir palaima,Sylvia Day,Meilės romanai,2017,270,0,0,9.87,Baltos lankos,"14 x 21 x 2 cm, kieti viršeliai",Lietuvių,8,5
Aistra nugali visas kliūtis. Glen Kranacho pilies paveldėtojas,Lynne Graham,Meilės romanai,1997,352,0,0,0,Mažoji Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
Aistra užribyje,Virginija Meilūnė,Meilės romanai,2018,332,0,0,6.30,Alma littera,"14,7 x 24 x 2,9 cm, kieti viršeliai",Lietuvių,5,3
Aistrai pabudus,Širlė Basbi,Meilės romanai,1997,310,0,0,2.19,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,2,5
Aistringas vaikinas. Sugrįžimas iš praeities,Lesli Merimont,Meilės romanai,2007,320,0,0,0,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Aistringa šėlionė,Candace Havens,Meilės romanai,2015,186,0,0,3.63,Svajonių knygos,"10,5 x 16,5 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Aistringas kerštas,Sandra Marton,Meilės romanai,2009,186,0,0,0,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,3
Aistringas Modiljanio gyvenimas (2014),Andre Salmon,"Biografijos, publicistika",2014,350,7.65,4.97,7.65,Gimtasis žodis,"1,5 cm, minkšti viršeliai",Lietuvių,0,0
Aistringas nuotykis,Kat Cantrell,Meilės romanai,2019,186,0,0,3.39,Svajonių knygos,"10,5 x 16,5 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Aistringas sandoris. Vieninteliai ir nepakartojami. 1 knyga,Kat Cantrell,Meilės romanai,2018,186,1.79,1.79,1.79,Svajonių knygos,"ePub, MOBI",Lietuvių,0,4
Aistringas žaidimas,Nancy Warren,Meilės romanai,2011,192,0,0,2.19,UAB Svajonių knygos,"ePub, MOBI",Lietuvių,2,4
Aistringasis Leo,Lynne Graham,Meilės romanai,2017,186,0,0,2.67,Svajonių knygos,"10,5 x 16,5 x 1 cm, minkšti viršeliai",Lietuvių,0,3
Aistringasis lošėjas Venecijoje. Paveldėtojai. 3 knyga,Bronwyn Scott (Braunvyn Skot),Meilės romanai,2018,352,5.09,4.33,5.09,Svajonių knygos,"11,5 x 18,5 x 2 cm, minkšti viršeliai",Lietuvių,1,5
Aistringieji apsimetėliai,Diana Haviland,Meilės romanai,1999,463,0,0,2.79,Alma littera,"13 x 20 x 2 cm, kieti viršeliai",Lietuvių,1,5
Aistringieji. 3-oji knyga,Lauren Kate,Fantastika,2011,448,0,0,0,Obuolys,"14,2 x 21,3 cm, kieti viršeliai",Lietuvių,6,5
Aistringoji princesė,Lauren Kate,Meilės romanai,1998,141,0,0,0,Alma littera,"13 x 21 cm, kieti viršeliai",Lietuvių,1,5
Aistringos Kalėdų naktys,Tawny Weber,Užsienio autorių romanai,2016,186,0,0,2.79,Svajonių knygos,"10,5 x 17 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Aistros akimirka,Lynne Graham,Meilės romanai,2009,186,0,0,2.19,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Aistros daina. Sakalo skrydis,Aneta Brodrik,Meilės romanai,1995,265,0,0,3.19,Rosma,"14 x 20 cm, kieti viršeliai",Lietuvių,1,5
Aistros ir nuopoliai,Romas Vainulevičius,Lietuvių autorių romanai,2023,496,19.49,17.54,0,Vitae Litera,"15 x 21 x 4,2 cm, minkšti viršeliai",Lietuvių,1,5
Aistros paliesti. Skandalingieji Samerfildai. 4 knyga,Diane Gaston,Meilės romanai,2017,352,0,0,3.39,Svajonių knygos,"10,8 x 18,1 x 2,2 cm, minkšti viršeliai",Lietuvių,1,4
Aistros spąstuose. Nuotakos pamergė,Lindsė Armstrong,Meilės romanai,2001,324,0,0,0,Rosma,"14 x 20 cm, kieti viršeliai",Lietuvių,0,0
Aistros valsas,Dženiferė Bleik,Meilės romanai,1997,351,0,0,0,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Aistros vandenynas,Kira Sinclair (Kira Sinkler),Meilės romanai,2017,186,0,0,10.99,Svajonių knygos,"10,5 x 16,5 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Aistrų karštligė,Viljamas Grifas,Užsienio autorių romanai,1993,112,0,0,2.09,Europa,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Aistrų metas,Danielle Steel,Meilės romanai,1996,320,0,0,2.75,Mažoji Rosma,"13 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Havana. Aistrų miestas,Mark Kurlansky,Kelionės,2018,224,0,0,11.79,Tyto alba,"14,7 x 22,1 x 2,2 cm, kieti viršeliai",Lietuvių,11,4
Aistrų našta,Laiza Džekson,Meilės romanai,1998,432,0,0,0,Rosma,"13,5 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Aistrų našta,William SOmerset Maugham,Užsienio autorių romanai,2007,686,0,0,0,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,2,5
Aistrų našta,Viljamas Somersetas Moemas,Užsienio autorių romanai,1969,718,0,0,4.20,Vaga,"15 x 23 cm, minkšti viršeliai",Lietuvių,0,0
Aistrų našta 2 dalis (1994),Viljamas Somersetas Moemas,Klasika,1994,350,0,0,2.00,Varpas,"13 x 20,5 x 2 cm, kieti viršeliai",Lietuvių,0,4
Aistrų našta (1994),Viljamas Somersetas Moemas,Klasika,1994,349,0,0,2.00,Varpas,"13 x 20,5 x 2 cm, kieti viršeliai",Lietuvių,0,4
Aistrų pilys,Alessandro Baricco,Užsienio autorių romanai,2007,182,0,0,5.79,Alma littera,"15 x 24 x 1,7 cm, kieti viršeliai",Lietuvių,1,5
Aistrų verpetai,Kristi Gold,Meilės romanai,2008,192,0,0,0,UAB Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,3
Aitvarai (2010),Romain Gary,Užsienio autorių romanai,2010,346,0,0,11.79,Baltos lankos,"13,8 x 20,5 cm, minkšti viršeliai",Lietuvių,0,4
Aitvarai,Romain Gary,Užsienio autorių romanai,2021,344,13.49,5.40,13.49,Baltos lankos,"14,5 x 21 x 2,8 cm, kieti viršeliai",Lietuvių,0,4
Aitvaras teisėjas,Balys Sruoga,Lietuvių autorių romanai,1987,140,0,0,2.67,Vyturys,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Aivenhas (1979),Valteris Skotas,Užsienio autorių romanai,1979,404,0,0,2.09,Vaga,"13,5 x 20,5 x 2,5 cm, kieti viršeliai",Lietuvių,1,5
Aivenhas,Walter Scott,Istoriniai romanai,2005,448,0,0,12.99,Alma littera,"15 x 21 x 4 cm, kieti viršeliai",Lietuvių,1,5
"Ak, kokia aistringa naktis! (2016)",Leslie Kelly,Meilės romanai,2016,186,0,0,0,Svajonių knygos,"16,7 x 10,6 x 1 cm, minkšti viršeliai",Lietuvių,0,4
"Ak, ta neištikimybė",Eva Voller,Meilės romanai,2004,265,0,0,3.74,Mūsų knyga,"11 x 18 x 2 cm, minkšti viršeliai",Lietuvių,1,5
"Ak, šešėli tuščių valandų...",Jūratė Petrauskaitė,"Poezija, drama, esė",1996,72,0,0,7.00,Aidai,"11 x 15 cm, kieti viršeliai",Lietuvių,0,0
"Ak, ta panelė Bredšou!",Virginia Heath,Meilės romanai,2020,320,0,0,6.98,Svajonių knygos,"13 x 20,5 x 2,7 cm, kieti viršeliai",Lietuvių,3,5
"Ak, toji sekretorė",Jessica Hart,Meilės romanai,2011,192,0,0,2.79,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
Akies istorija,Georges Bataille,Užsienio autorių romanai,1997,120,0,0,0,Charibdė,"12 x 17 cm, minkšti viršeliai",Lietuvių,0,0
Akies mirksniu,Ray Bradbury,Užsienio autorių romanai,1999,239,0,0,5.79,Alma littera,"14,8 x 24 x 1,8 cm, kieti viršeliai",Lietuvių,1,5
Akimirka prieš laimę,Agnès Ledig,Užsienio autorių romanai,2017,328,0,0,7.59,Lietuvos rašytojų sąjungos leidykla,"14,5 x 22 x 3,3 cm, kieti viršeliai",Lietuvių,16,4
Akimirkos paukštis,Stefa Juršienė,"Poezija, drama, esė",1999,117,0,0,0,Aušra,"10 x 18,7 cm, minkšti viršeliai",Lietuvių,0,0
Akimirkos vertė,Vytautas Steponas Vaičiūnas,"Poezija, drama, esė",2019,120,0,0,0,"Pasaulio lietuvių kultūros, mokslo ir švietimo centras","14,5 x 23 x 0,8 cm, minkšti viršeliai",Lietuvių,0,0
Akimirkos žavesys,Jessica Lemmon,Meilės romanai,2023,256,6.49,5.19,6.49,Svajonių knygos,"11,5 x 18,5 x 1,5 cm, minkšti viršeliai",Lietuvių,0,4
Akimirksniu,Viktorija Grumblytė,Lietuvių autorių romanai,2017,157,2.43,2.19,2.43,Tobulėjimo projektai,"15 x 21,6 x 1,5 cm, kieti viršeliai",Lietuvių,9,4
Akimirksniui užteks,Ramutė Skučaitė,"Poezija, drama, esė",2024,128,16.39,12.29,0,Lietuvos rašytojų sąjungos leidykla,"14,8 x 24,6 x 1,6 cm, kieti viršeliai",Lietuvių,0,0
Akinantis sniegas,Ragnar Jónasson,"Detektyvai, trileriai",2021,288,13.56,5.42,13.56,Baltos lankos,"14,5 x 21 x 2,2 cm, kieti viršeliai",Lietuvių,8,3
Akiratis,Wiesław Myśliwski,Užsienio autorių romanai,2017,584,0,0,21.39,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,5 x 5 cm, kieti viršeliai",Lietuvių,8,5
Akis į akį. Klaipėda 1923,Saulius Šaltenis,Lietuvių autorių romanai,2023,176,23.89,21.50,0,Vaga,"15,7 x 25,8 x 1,5 cm, minkšti viršeliai",Lietuvių,1,5
Akistatos,Vytautas Petkevičius,"Biografijos, publicistika",1979,245,0,0,2.19,Mintis,"13 x 16,5 cm, kieti viršeliai",Lietuvių,0,0
Akių šviesa,Maurício Gomyde,Užsienio autorių romanai,2017,272,0,0,3.39,Alma littera,"14,3 x 23,5 x 2,4 cm, kieti viršeliai",Lietuvių,2,4
Akivarai,Michael Connelly,Užsienio autorių romanai,2006,312,0,0,10.49,Jotema,"15 x 24 cm, kieti viršeliai",Lietuvių,0,4
Akla kaip akmuo. Medūsos istorija,Natalie Haynes,Užsienio autorių romanai,2023,336,16.59,14.93,16.59,Baltos lankos,"14,5 x 21,5 x 2,6 cm, kieti viršeliai",Lietuvių,3,4
Akla valtis,Gytis Norvilas,"Poezija, drama, esė",2021,88,8.49,6.79,0,Lietuvos rašytojų sąjungos leidykla,"15 x 21 x 0,9 cm, minkšti viršeliai",Lietuvių,0,3
"AKLAS GLUOSNIS, MIEGANTI MOTERIS",Haruki Murakami,Užsienio autorių romanai,2018,480,0,0,10.00,Baltos lankos,"14,5 x 21 x 3,9 cm, kieti viršeliai",Lietuvių,6,5
Aklas instinktas,Andreas Winkelmann,"Detektyvai, trileriai",2011,336,0,0,3.39,Metodika,"15,5 x 22 cm, kieti viršeliai",Lietuvių,0,4
"AKLAS PASIMATYMAS. Praeities klaidos sugrįžta likimo išdaigomis... Lietuviškų bestselerių  „Juodvilkio dvaras“, „Geriausias draugas“, „Vienos nakties nuotykis“ autorės nauja knyga",Indrė Vakarė,Meilės romanai,2020,256,11.29,10.16,11.29,Obuolys,"12,5 x 18,7 x 2 cm, minkšti viršeliai",Lietuvių,14,4
AKLAS SPĖJIMAS,Jørn Lier Horst,"Detektyvai, trileriai",2021,408,11.26,7.35,11.26,Baltos lankos,"14,5 x 21 x 3,2 cm, kieti viršeliai",Lietuvių,12,4
Aklas tigras,Sandra Brown,"Detektyvai, trileriai",2023,576,23.49,16.01,23.49,Alma littera,"14,7 x 22,2 x 3,8 cm, kieti viršeliai",Lietuvių,9,4
Aklasis muzikantas (1949),V. Korolenka,Užsienio autorių romanai,1949,408,0,0,6.99,Valstybinė grožinės literatūros leidykla,"15 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Aklasis žudikas,Margaret Atwood,Užsienio autorių romanai,2003,584,0,0,18.99,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,0,0
Aklavietė,Sandra Brown,"Detektyvai, trileriai",2011,208,0,0,10.59,Alma littera,"14,5 x 24,1 cm, kieti viršeliai",Lietuvių,3,5
Akligatvis,Louise Doughty,"Detektyvai, trileriai",2018,368,17.09,15.38,17.09,Alma littera,"14,3 x 23,5 x 3,2 cm, kieti viršeliai",Lietuvių,7,3
Akloji meilė,Patrick Cauvin,Meilės romanai,2000,240,0,0,5.79,Alma littera,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Aklumas,Jose Saramago,Užsienio autorių romanai,2020,296,12.79,10.87,12.79,Kitos knygos,"15 x 21,5 x 3 cm, kieti viršeliai",Lietuvių,12,4
Aklumas,Karin Slaughter,"Detektyvai, trileriai",2012,376,0,0,19.99,Alma littera,"23,5 x 14,3 x 3,2 cm, kieti viršeliai",Lietuvių,8,4
Aklumas,Jose Saramago,Užsienio autorių romanai,2007,272,0,0,9.79,Alma littera,"15 x 24,3 cm, kieti viršeliai",Lietuvių,2,5
Akmenėlis danguje (PFAF 165),Isaac Asimov,Fantastika,2000,238,0,0,22.59,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Akmeninė širdis,Moras Jokajus,Užsienio autorių romanai,1985,552,0,0,2.00,Vyturys,"13,5 x 21 cm, kieti viršeliai",Lietuvių,0,0
Akmeniniai Avondalio namai,Jurga Žąsinaitė,Lietuvių autorių romanai,2008,159,0,0,24.99,Gimtasis žodis,"16 x 24 cm, kieti viršeliai",Lietuvių,0,0
Akmeniniai klevai,Lena Eltang,Užsienio autorių romanai,2011,372,0,0,8.79,Vaga,"14 x 21 cm, minkšti viršeliai",Anglų,0,4
Akmeninis Dievas (PFAF 213),Philip Jose Farmer,Fantastika,2001,234,0,0,18.99,Eridanas,"13 x 20 x 1 cm, minkšti viršeliai",Lietuvių,0,4
Akmens šalis,Aleksis La Guma,Užsienio autorių romanai,1973,244,0,0,2.00,Vaga,"12 x 17 cm, kieti viršeliai",Lietuvių,0,0
Akmens šviesa,Kai Meyer,Užsienio autorių romanai,2006,296,0,0,3.19,Alma littera,"14,5 x 22 cm, kieti viršeliai",Lietuvių,2,5
Akmenų dovana,Jim Crace,Užsienio autorių romanai,2006,174,0,0,2.00,Žaltvykslė,"14,5 x 24 x 1,5 cm, kieti viršeliai",Lietuvių,1,5
Akmenų sergėtojai. Žemė-oras,Paul White,Lietuvių autorių romanai,2021,477,24.49,22.04,24.49,Žaltvykslė,"17,2 x 24,2 x 3,3 cm, kieti viršeliai",Lietuvių,19,4
Akmenų sinodas,Jean Christophe Grangé,"Detektyvai, trileriai",2008,478,0,0,5.79,Baltos lankos,"10,7 x 17 cm, minkšti viršeliai",Lietuvių,1,5
Akmenų spardytojas,Torbjorn Flygt,Užsienio autorių romanai,2007,471,0,0,3.99,Lietuvos rašytojų sąjungos leidykla,"14,5 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Akmenų valdovo pasakojimai (2016),Audronė Ilgevičienė,Pasakos,2016,160,0,0,22.59,Idealistų būstinė,"15 x 21 cm, kieti viršeliai",Lietuvių,2,5
Akmenų valdovo pasakojimai,Audronė Ilgevičienė,Lietuvių autorių romanai,2002,137,0,0,17.79,Gamta,"12,5 x 16,5 cm, kieti viršeliai",Lietuvių,1,5
Akmenukas bate,Edvinas Krocas,Lietuvių autorių romanai,2017,256,4.86,4.37,4.86,Druka,"15 x 21 x 2 cm, minkšti viršeliai",Lietuvių,5,5
"AKMUO, POPIERIUS, ŽIRKLĖS. Jaudinantis psichologinis trileris apie santykių problemas. Dešimt metų santuokos – dešimt metų paslapčių ir vienas viską keičiantis savaitgalis",Alice Feeney,"Detektyvai, trileriai",2023,306,18.79,11.27,18.79,BALTO leidybos namai,"14,3 x 21,3 x 2,7 cm, kieti viršeliai",Lietuvių,38,4
Akmuo pražydo,Emilija Liegutė,"Poezija, drama, esė",2011,92,0,0,0,Lietuvos rašytojų sąjungos leidykla,"14 x 22,5 cm, minkšti viršeliai",Lietuvių,0,0
